title,price,discount
Apple Macbook Pro 14 MTL73 (8GB-512GB),"Rs  452,999",9% OFF
Apple MacBook Air 13 M1 MGN63 (8GB-256GB),"Rs  242,999",6% OFF
Apple Macbook Pro MRX33 M3 Pro 14.2 (18GB-512GB),"Rs  549,999",8% OFF
Apple MacBook Pro 14.2” MTL83 (8GB-1TB),"Rs  494,999",4% OFF
Apple MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,"Rs  354,999",11% OFF
Apple Macbook Pro MRX33 M3 Pro 14 (18GB-512GB) Black,"Rs  554,999",8% OFF
Apple MACBOOK AIR 13” M3 CHIP MRXV3 8-256,"Rs  334,999",16% OFF
Apple MacBook Air 15.3 M2 MQKX3 (8GB-512GB),"Rs  406,999",No discount found
